,0
324,Armed Revolutionary Left (IRA)
325,Etnocacerista Movement
326,National Anti-Corruption Front (FNA)
327,Mariano Moreno National Liberation Commando
328,Fuerzas Autonómicas y Destructivas León Czolgoscz
329,First Capital Command (PCC)
330,The Jean Marc Rouillan Armed and Heartless Columns
331,Revolutionary Cells (Argentina)
332,Black Eagles
333,Arauco Malleco Coordinating Group (CAM) - Chile
334,Jacinto Araujo Internationalist Rebel Insurrectionist Brigade
335,Paraguayan People's Army (EPP)
336,Vandalicia Teodoro Suarez
337,Anarkista Jorge Banos Front of the Everyone For The Homeland Movement (MTP)
338,Earth Liberation Front (ELF)
339,Comando Autónomo Voltaire Argandoña
340,Anarchists
341,Revolutionary Insurgent Armed Forces of Ecuador (FAIRE)
342,Core Conspirators for the Extension of Chaos (Núcleo de Conspiradores por la Extensión de Kaos)
343,Mapuche activists
344,Los Rastrojos (Colombia)
345,Conspiracy of Cells of Fire
346,Informal Anarchist Federation
347,National Liberation Front (Ecuador)
348,Weichan Auka Mapu
349,Antagonistic Nuclei of the New Urban Guerrilla
350,Gaitanista Self-Defense Forces of Colombia (AGC)
351,Chama Pueblo en Rebelion
352,Shuar extremists
353,Uruguay
354,Venezuela
355,Brazil
356,Argentina
357,Paraguay
358,Colombia
359,Bolivia
360,Peru
361,Chile
362,Ecuador
363,Guyana
364,Suriname
365,French Guiana
366,Falkland Islands
